                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                0.96053,                 6.6527,                0.40785,                0.82601,                 1.0909,                0.66643,                0.72314,                0.63866,                0.39951,                0.10265,                0.09969,                0.02297,                0.00305,                 1.3515,                 7.2303,                0.44679,                0.96914,                 1.2311,              0.0009106,              0.0009106,              0.0009106
                     57,                0.95292,                 6.6719,                0.40774,                0.82633,                  1.088,                0.68327,                0.72792,                0.63087,                0.38293,                0.11774,                0.10736,                0.02388,                0.00322,                 1.3876,                 7.2196,                0.44697,                0.98327,                 1.2396,             0.00089685,             0.00089685,             0.00089685
                     58,                 0.9466,                 6.6509,                 0.4089,                0.81373,                 1.0879,                0.68015,                0.74686,                0.62758,                0.38357,                0.07175,                0.07822,                0.01576,                0.00228,                 1.3514,                 7.2648,                0.44832,                0.97882,                 1.2231,             0.00088309,             0.00088309,             0.00088309
                     59,                0.96695,                 6.6738,                0.40686,                0.83068,                 1.0982,                0.69532,                0.72455,                0.65582,                0.40396,                0.10922,                0.09969,                0.02889,                0.00367,                 1.3442,                 7.2408,                0.44841,                0.96701,                 1.2213,             0.00086934,             0.00086934,             0.00086934
                     60,                0.95381,                 6.6183,                0.40591,                 0.8328,                 1.0889,                0.70831,                0.71626,                0.65087,                0.39732,                0.10297,                0.09356,                0.02089,                0.00273,                 1.3672,                 7.2497,                0.44584,                0.97408,                 1.2086,             0.00085559,             0.00085559,             0.00085559
                     61,                0.94771,                 6.6189,                0.40418,                0.80784,                 1.0857,                0.67552,                0.77607,                0.63222,                0.38553,                0.09785,                0.08896,                0.02558,                0.00335,                 1.3667,                 7.2506,                0.44615,                 0.9689,                 1.2313,             0.00084184,             0.00084184,             0.00084184
                     62,                0.93837,                 6.6421,                0.40667,                0.81487,                 1.0868,                0.70341,                 0.7408,                0.64253,                 0.3991,                0.10297,                0.10123,                0.02547,                0.00331,                 1.3743,                 7.2161,                0.44513,                0.95893,                 1.2343,             0.00082808,             0.00082808,             0.00082808
                     63,                0.94692,                 6.6103,                 0.4093,                0.81023,                 1.0937,                0.67056,                0.76534,                0.64807,                 0.3967,                0.11709,                0.10736,                0.02813,                0.00383,                 1.3809,                 7.1626,                0.44113,                0.96156,                 1.2295,             0.00081433,             0.00081433,             0.00081433
                     64,                0.92946,                  6.599,                0.40495,                0.80615,                 1.0831,                0.66791,                0.72546,                0.62803,                0.38652,                0.12603,                 0.1135,                0.03385,                0.00448,                 1.4001,                 7.2111,                0.44223,                 1.0004,                 1.2644,             0.00080058,             0.00080058,             0.00080058
                     65,                0.93991,                 6.6137,                0.40587,                0.80581,                 1.0867,                0.70696,                 0.7408,                 0.6549,                0.41103,                0.14538,                0.11656,                0.04053,                0.00545,                 1.3574,                 7.1346,                0.44163,                 0.9463,                 1.2166,             0.00078682,             0.00078682,             0.00078682
